City,Date,PM2.5,PM10,NO2,CO,SO2
Hồ Chí Minh ,2/17/2021,74,,,,
Hà Nội,2/17/2021,,,,,
Hà Nội,2/17/2021,76,,7.4,0.1,4.1
Gia Lai,2/17/2021,37,27,3,1,1
Thừa Thiên Huế,2/17/2021,26,41,,1,
Hà Nội,2/17/2021,83,66,17,4,2
Bắc Ninh,2/17/2021,36,34,7,2,3
Lào Cai,2/17/2021,139,55,2,38,117
Hạ Long,2/17/2021,41,25,,,
Quảng Ninh,2/17/2021,10,7,7,6,22
Bắc Ninh,2/17/2021,41,27,2,3,5
Bắc Ninh,2/17/2021,,,3,4,2
Hà Nội,2/17/2021,87,68,29,23,
Hà Nội,2/17/2021,49,28,9,5,
Hà Nội,2/17/2021,45,33,31,8,
Hà Nội,2/17/2021,78,49,20,6,1
Đà Nẵng,2/17/2021,,,1,1,6
Nha Trang,2/17/2021,,,2,2,4
Hà Nội,2/17/2021,83,66,17,14,
Hà Nội,2/17/2021,44,28,8,6,
Hà Nội,2/17/2021,81,65,23,16,
Hà Nội,2/17/2021,49,31,,8,
Cao Bằng,2/17/2021,36,51,,,
Hồ Chí Minh ,2/18/2021,93,,,,
Hà Nội,2/18/2021,,,,,
Hà Nội,2/18/2021,154,,4.6,0.1,6.1
Gia Lai,2/18/2021,33,27,1,1,1
Thừa Thiên Huế,2/18/2021,39,64,,1,
Hà Nội,2/18/2021,112,77,31,7,2
Bắc Ninh,2/18/2021,83,51,8,3,4
Lào Cai,2/18/2021,192,87,2,32,44
Hạ Long,2/18/2021,24,19,,,
Quảng Ninh,2/18/2021,5,4,4,5,22
Bắc Ninh,2/18/2021,101,56,14,5,15
Bắc Ninh,2/18/2021,,,9,3,8
Hà Nội,2/18/2021,116,79,30,38,
Hà Nội,2/18/2021,95,51,12,9,
Hà Nội,2/18/2021,98,62,22,5,
Hà Nội,2/18/2021,101,59,14,5,1
Đà Nẵng,2/18/2021,,,1,4,6
Nha Trang,2/18/2021,,,3,2,4
Hà Nội,2/18/2021,114,77,20,13,
Hà Nội,2/18/2021,84,51,8,6,
Hà Nội,2/18/2021,124,86,23,20,
Hà Nội,2/18/2021,105,57,,7,
Cao Bằng,2/18/2021,78,81,,,
Hồ Chí Minh ,2/20/2021,80,,,,
Hà Nội,2/20/2021,,,,,
Hà Nội,2/20/2021,165,,5.1,0.1,5.6
Gia Lai,2/19/2021,27,21,2,1,1
Thừa Thiên Huế,2/20/2021,41,70,,2,
Hà Nội,2/20/2021,116,61,73,16,2
Bắc Ninh,2/20/2021,121,66,8,3,4
Lào Cai,2/20/2021,167,72,6,30,12
Hạ Long,2/20/2021,31,17,,,
Quảng Ninh,2/20/2021,8,6,12,6,19.2
Bắc Ninh,2/20/2021,102,63,6,2,4
Bắc Ninh,2/20/2021,,,15,3,3
Hà Nội,2/20/2021,120,69,73,55,
Hà Nội,2/20/2021,110,61,39,7,
Hà Nội,2/20/2021,126,73,33,9,
Hà Nội,2/20/2021,100,62,21,3,1
Đà Nẵng,2/20/2021,,,1,6,6
Nha Trang,2/20/2021,,,4,2,4
Hà Nội,2/20/2021,127,71,18,11,
Hà Nội,2/20/2021,113,63,15,9,
Hà Nội,2/20/2021,117,64,13,11,
Hà Nội,2/20/2021,115,61,,7,
Cao Bằng,2/20/2021,194,177,,,
Hồ Chí Minh ,2/22/2021,76,,,,
Hà Nội,2/22/2021,,,,,
Hà Nội,2/22/2021,152,,5.1,0.1,4.1
Gia Lai,2/19/2021,31,25,1,1,2
Thừa Thiên Huế,2/22/2021,29,55,,2,
Hà Nội,2/22/2021,127,70,38,10,1
Bắc Ninh,2/22/2021,85,63,11,2,4
Lào Cai,2/22/2021,175,65,6,31,85
Hạ Long,2/22/2021,17,9,,,
Quảng Ninh,2/22/2021,4,3,7,5,21.8
Bắc Ninh,2/22/2021,60,50,4,2,3
Bắc Ninh,2/22/2021,75,50,7,4,1
Hà Nội,2/22/2021,153,78,53,48,
Hà Nội,2/22/2021,99,56,39,4,
Hà Nội,2/22/2021,95,58,19,5,
