City,Date,PM2.5,PM10,NO2,CO,SO2
Bắc Ninh,10/11/2021,1,1,2,2,8
Bắc Ninh,10/11/2021,,,1,6,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,10/10/2021,13,8,5,2,
Hà Nội,10/10/2021,11,8,18,3,
Hà Nội,10/11/2021,21,9,14,3,
Đà Nẵng,10/11/2021,62,40,11,9,35
Nha Trang,10/11/2021,,,1,3,7
Hà Nội,10/10/2021,41,45,9,8,
Hà Nội,10/9/2021,54,32,20,6,
Hà Nội,10/10/2021,37,38,19,5,
Hà Nội,10/10/2021,22,15,,3,
Cao Bằng,10/11/2021,17,17,,,2
Hồ Chí Minh ,10/13/2021,30,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,10/14/2021,50,,6,0.1,5.1
Gia Lai,10/14/2021,22,15,11,4,17
Thừa Thiên Huế,10/14/2021,,,,10,
Hà Nội,10/7/2021,,,,10,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,10/14/2021,12,2,1,44,1.5
Hạ Long,10/14/2021,,,8,,
Quảng Ninh,10/14/2021,,,2,,9
Bắc Ninh,10/14/2021,15,26,1,1,7
Bắc Ninh,10/14/2021,,,3,6,6
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,10/13/2021,16,15,5,2,
Hà Nội,10/13/2021,33,23,25,4,
Hà Nội,10/13/2021,36,28,15,4,
Đà Nẵng,10/14/2021,50,36,11,9,38
Nha Trang,10/14/2021,,,1,3,6
Hà Nội,10/13/2021,61,55,13,10,
Hà Nội,10/13/2021,48,31,27,6,
Hà Nội,10/13/2021,42,53,22,20,
Hà Nội,10/10/2021,22,15,,3,
Cao Bằng,10/14/2021,18,20,,,1
Hồ Chí Minh ,10/13/2021,30,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,10/18/2021,53,,6.9,0.1,5.1
Gia Lai,10/18/2021,3,4,1,1,17
Thừa Thiên Huế,10/18/2021,,,,13,
Hà Nội,10/7/2021,,,,10,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,10/18/2021,12,1,1,48,99.1
Hạ Long,10/18/2021,,,8,,
Quảng Ninh,10/18/2021,,,3,,10
Bắc Ninh,10/18/2021,32,22,3,2,7
Bắc Ninh,10/18/2021,,,3,6,7
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,10/18/2021,40,23,11,3,
Hà Nội,10/18/2021,19,35,30,6,
Hà Nội,10/18/2021,18,12,13,4,
Đà Nẵng,10/18/2021,2,1,11,1,35
Nha Trang,10/18/2021,,,1,5,7
Hà Nội,10/18/2021,54,39,25,26,
Hà Nội,10/18/2021,31,17,19,4,
Hà Nội,10/18/2021,56,45,22,17,
Hà Nội,10/18/2021,42,27,,4,
Cao Bằng,10/18/2021,70,113,,,1
Hồ Chí Minh ,10/13/2021,30,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,10/20/2021,173,,22,0.2,6.6
Gia Lai,10/20/2021,25,21,6,4,17
Thừa Thiên Huế,10/20/2021,,,,11,
Hà Nội,10/7/2021,,,,10,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,10/20/2021,12,1,2,50,99.1
Hạ Long,10/20/2021,,,16,,
Quảng Ninh,10/20/2021,,,10,,10
Bắc Ninh,10/19/2021,24,17,2,2,22
Bắc Ninh,10/20/2021,,,10,8,7
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,10/19/2021,75,42,14,6,
Hà Nội,10/20/2021,155,87,38,17,
Hà Nội,10/20/2021,107,83,21,10,
Đà Nẵng,10/20/2021,45,33,12,4,12
Nha Trang,10/20/2021,,,1,4,7
Hà Nội,10/19/2021,107,78,33,10,
Hà Nội,10/19/2021,70,47,33,12,
Hà Nội,10/19/2021,114,85,27,26,
Hà Nội,10/19/2021,80,55,,14,
Cao Bằng,10/20/2021,76,138,,,1
Hồ Chí Minh ,10/25/2021,46,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,10/25/2021,109,,11,0.1,6.1
Gia Lai,10/25/2021,8,7,1,1,16
Thừa Thiên Huế,10/25/2021,,,,6,
Hà Nội,10/7/2021,,,,10,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,10/25/2021,2.1,1,1,45,56
Hạ Long,10/25/2021,,,12,,
Quảng Ninh,10/25/2021,,,10,12,29
Bắc Ninh,10/19/2021,24,17,2,2,22
Bắc Ninh,10/25/2021,,,1,4,7
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,10/25/2021,79,49,7,3,
Hà Nội,10/25/2021,70,49,32,5,
Hà Nội,10/25/2021,116,69,11,3,
Đà Nẵng,10/25/2021,24,15,14,2,12
Nha Trang,10/25/2021,,,1,2,7
Hà Nội,10/25/2021,124,78,26,13,
Hà Nội,10/25/2021,55,49,21,3,
Hà Nội,10/25/2021,122,79,21,16,
Hà Nội,10/25/2021,82,53,,3,
Cao Bằng,10/25/2021,104,142,,,1
Hồ Chí Minh ,11/1/2021,82,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,11/1/2021,34,,6.4,0.1,5.1
Gia Lai,11/1/2021,8,7,1,1,17
Thừa Thiên Huế,11/1/2021,,,,5,
Hà Nội,10/7/2021,,,,10,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,11/1/2021,2,1,1,47,453
Hạ Long,11/1/2021,,,14,,
Quảng Ninh,11/1/2021,,,3,8,27
Bắc Ninh,10/19/2021,24,17,2,2,22
Bắc Ninh,11/1/2021,,,1,6,6
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,11/1/2021,18,10,6,5,
Hà Nội,11/1/2021,43,26,22,6,
Hà Nội,11/1/2021,26,19,15,5,
Đà Nẵng,11/1/2021,21,12,15,1,12
Nha Trang,11/1/2021,,,1,3,7
Hà Nội,11/1/2021,28,28,11,5,
Hà Nội,11/1/2021,24,19,16,4,
Hà Nội,11/1/2021,40,44,23,22,
Hà Nội,11/1/2021,24,19,,5,
Cao Bằng,11/1/2021,23,17,,,2
Hồ Chí Minh ,11/4/2021,9,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,11/4/2021,87,,19.2,0.3,5.6
Gia Lai,11/4/2021,17,13,2,1,1
Thừa Thiên Huế,11/4/2021,,,,20,
Hà Nội,10/7/2021,,,,10,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,11/4/2021,2,1,1,44,500
Hạ Long,11/4/2021,,,17,,
Quảng Ninh,11/4/2021,46,44,24,10,35
Bắc Ninh,10/19/2021,24,17,2,2,22
Bắc Ninh,11/4/2021,,,1,7,6
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,11/3/2021,62,34,23,15,
Hà Nội,11/3/2021,121,76,48,64,
Hà Nội,11/4/2021,65,56,17,5,
Đà Nẵng,11/4/2021,38,26,24,7,13
Nha Trang,11/4/2021,,,1,5,7
Hà Nội,11/3/2021,103,72,44,21,
Hà Nội,11/3/2021,72,42,47,20,
Hà Nội,11/3/2021,109,83,46,33,
Hà Nội,11/3/2021,72,52,,39,
Cao Bằng,11/3/2021,21,54,,,5
Hồ Chí Minh ,11/7/2021,78,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,11/7/2021,68,,10.1,0.1,5.6
Gia Lai,11/7/2021,27,21,2,1,1
Thừa Thiên Huế,11/7/2021,,,,8,
Hà Nội,10/7/2021,,,,10,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,11/7/2021,,1,1,45,500
Hạ Long,11/7/2021,,,13,,
Quảng Ninh,11/7/2021,19,21,10,12,25
Bắc Ninh,11/7/2021,,,5,1,10
Bắc Ninh,11/7/2021,,,,5,6
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,11/7/2021,41,24,2,2,
Hà Nội,11/7/2021,54,40,25,5,
Hà Nội,11/7/2021,43,48,7,3,
Đà Nẵng,11/7/2021,45,32,12,3,12
Nha Trang,11/7/2021,,,1,2,9
Hà Nội,11/7/2021,86,65,32,19,
Hà Nội,11/7/2021,42,33,16,3,
Hà Nội,11/7/2021,86,73,23,23,
Hà Nội,11/7/2021,35,29,,2,
Cao Bằng,11/3/2021,21,54,,,5
Hồ Chí Minh ,11/10/2021,97,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,11/10/2021,59,,7.8,0.1,6.1
Gia Lai,11/10/2021,6,6,1,1,1
Thừa Thiên Huế,11/10/2021,,,,10,
Hà Nội,10/7/2021,,,,10,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,11/10/2021,99.2,1,,45,500
Hạ Long,11/10/2021,,,12,,
Quảng Ninh,11/10/2021,18,35,5,25,23
Bắc Ninh,11/10/2021,,,2,1,11
Bắc Ninh,11/10/2021,,,,6,7
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,11/10/2021,4,3,3,1,
Hà Nội,11/10/2021,40,33,33,5,
Hà Nội,11/10/2021,74,52,13,4,
Đà Nẵng,11/9/2021,11,7,11,1,12
Nha Trang,11/10/2021,,,1,4,7
Hà Nội,11/10/2021,46,55,20,15,
Hà Nội,11/10/2021,27,19,21,3,
Hà Nội,11/10/2021,52,57,24,19,
Hà Nội,11/10/2021,32,25,,5,
Cao Bằng,11/10/2021,50,92,,,3
Hồ Chí Minh ,11/16/2021,65,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,11/16/2021,174,,17.9,0.1,7.1
Gia Lai,11/16/2021,5,4,1,1,1
Thừa Thiên Huế,11/16/2021,,,,5,
Hà Nội,10/7/2021,,,,10,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,11/16/2021,99.1,1,,50,500
Hạ Long,11/16/2021,,,29,,
Quảng Ninh,11/16/2021,46,46,14,7,34
Bắc Ninh,11/16/2021,,,5,3,11
Bắc Ninh,11/15/2021,,,,6,8
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,11/16/2021,95,51,11,3,
Hà Nội,11/16/2021,167,94,42,6,
Hà Nội,11/16/2021,146,102,21,6,
Đà Nẵng,11/9/2021,11,7,11,1,12
Nha Trang,11/16/2021,,,1,5,7
Hà Nội,11/16/2021,178,140,53,19,
Hà Nội,11/16/2021,69,43,23,5,
Hà Nội,11/16/2021,162,119,41,15,
Hà Nội,11/16/2021,186,105,,7,
Cao Bằng,11/16/2021,101,64,10,,1
Hồ Chí Minh ,11/20/2021,114,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,11/20/2021,158,,11.9,0.2,5.1
Gia Lai,11/20/2021,27,18,1,1,2
Thừa Thiên Huế,11/20/2021,,,,8,
Hà Nội,10/7/2021,,,,10,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,11/20/2021,3,2,2,50,500
Hạ Long,11/20/2021,,,22,,
Quảng Ninh,11/20/2021,44,39,20,7,31
Bắc Ninh,11/20/2021,,,33,4,10
Bắc Ninh,11/20/2021,,,,6,5
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,11/20/2021,149,66,12,7,
Hà Nội,11/20/2021,162,86,24,7,
Hà Nội,11/19/2021,165,104,22,8,
Đà Nẵng,11/9/2021,11,7,11,1,12
Nha Trang,11/20/2021,,,2,6,7
Hà Nội,11/20/2021,195,154,24,49,
Hà Nội,11/20/2021,159,75,18,5,
Hà Nội,11/20/2021,189,145,32,46,
Hà Nội,11/20/2021,171,93,,8,
Cao Bằng,11/20/2021,39,31,5,,2
Hồ Chí Minh ,11/26/2021,89,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,11/26/2021,151,,11,0.1,6.1
Gia Lai,11/26/2021,14,11,1,1,1
Thừa Thiên Huế,11/26/2021,,,,11,
Hà Nội,10/7/2021,,,,10,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,11/26/2021,14,8,,50,401
Hạ Long,11/26/2021,,,26,,
Quảng Ninh,11/26/2021,48,58,11,8,32
Bắc Ninh,11/26/2021,,,6,2,10
Bắc Ninh,11/26/2021,,,,5,17
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,11/25/2021,40,34,9,4,
Hà Nội,11/25/2021,129,76,58,13,
Hà Nội,11/26/2021,124,77,17,4,
Đà Nẵng,11/26/2021,27,18,12,5,12
Nha Trang,11/26/2021,,,1,2,7
Hà Nội,11/26/2021,150,102,26,5,
Hà Nội,11/26/2021,98,53,21,6,
Hà Nội,11/26/2021,135,97,34,33,
Hà Nội,11/26/2021,133,70,,4,
Cao Bằng,11/26/2021,87,79,20,,1
Hồ Chí Minh ,11/29/2021,93,,,,
Hà Nội,8/17/2021,52,,,,
Hà Nội,11/29/2021,107,,13.3,0.1,6.6
Gia Lai,11/29/2021,4,4,1,1,1
Thừa Thiên Huế,11/29/2021,,,,13,
Hà Nội,10/7/2021,,,,10,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,11/29/2021,10,5,,50,434
Hạ Long,11/29/2021,,,15,,
Quảng Ninh,11/29/2021,66,67,44,12,55
Bắc Ninh,11/29/2021,,,6,2,14
Bắc Ninh,11/29/2021,,,,6,13
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,11/29/2021,143,72,16,6,
Hà Nội,11/29/2021,89,107,20,5,
Hà Nội,11/29/2021,148,77,10,2,
Đà Nẵng,11/29/2021,59,33,12,2,12
Nha Trang,11/29/2021,,,1,2,7
Hà Nội,11/29/2021,168,126,40,11,
Hà Nội,11/29/2021,130,68,30,7,
Hà Nội,11/29/2021,162,108,37,20,
Hà Nội,11/29/2021,149,76,,7,
Cao Bằng,11/29/2021,77,114,5,,2
