Station ID,Date,PM2.5,PM10,NO2,CO,SO2
8767,3/2/2021,61,,,,
8688,3/2/2021,,,,,
8641,3/2/2021,59,,7.4,0.1,3.6
13012,3/2/2021,15,14,5,2,2
12488,3/2/2021,24,16,,2,
13251,2/26/2021,1,1,50,12,1
12976,3/2/2021,54,32,8,3,7
13250,3/2/2021,15,4,2,33,53
5507,3/2/2021,19,11,,,
11778,3/2/2021,6,6,12,6,14
12958,3/2/2021,26,20,3,3,4
12957,3/2/2021,28,23,4,4,3
13015,3/2/2021,63,50,19,20,
13018,3/2/2021,40,28,11,4,
13019,3/2/2021,39,36,20,6,
13026,2/25/2021,1,54,59,2,1
1584,3/2/2021,,,1,3,7
1585,3/2/2021,,,1,1,4
13017,3/2/2021,62,56,16,10,
13020,3/2/2021,42,35,12,7,
13013,3/2/2021,68,57,11,8,
13014,3/2/2021,44,32,,6,
13252,3/2/2021,48,80,,,
8767,3/3/2021,65,,,,
8688,3/3/2021,,,,,
8641,3/3/2021,153,,7.8,0.2,3.6
13012,3/3/2021,28,24,6,3,2
12488,3/3/2021,26,20,,3,
13251,2/26/2021,1,1,50,12,1
12976,3/3/2021,54,32,20,6,6
13250,3/3/2021,21,2,4,32,127
5507,3/3/2021,21,11,,,
11778,3/3/2021,2,2,11,8,4
12958,3/3/2021,26,20,1,5,4
12957,3/3/2021,75,45,10,4,2
13015,3/3/2021,121,87,22,27,
13018,3/3/2021,83,56,10,6,
13019,3/3/2021,106,65,29,13,
13026,3/3/2021,112,80,13,7,1
1584,3/3/2021,,,1,9,7
1585,3/3/2021,,,2,2,4
13017,3/3/2021,122,87,18,10,
13020,3/3/2021,82,55,18,9,
13013,3/3/2021,123,89,23,15,
13014,3/3/2021,82,54,,9,
13252,3/3/2021,109,115,,,
8767,3/5/2021,50,,,,
8688,3/5/2021,,,,,
8641,3/5/2021,122,,7.8,0.2,3.6
13012,3/5/2021,26,21,5,2,2
12488,3/5/2021,51,72,,7,
13251,2/26/2021,1,1,50,12,1
12976,3/5/2021,54,32,10,5,4
13250,3/5/2021,40,8,2,34,23
5507,3/5/2021,18,10,,,
11778,3/5/2021,6,4,22,6,23
12958,3/5/2021,26,20,2,4,4
12957,3/5/2021,38,25,12,4,1
13015,3/5/2021,118,85,25,22,
13018,3/5/2021,84,58,13,8,
13019,3/5/2021,100,61,22,9,
13026,3/5/2021,86,69,19,10,1
1584,3/3/2021,,,1,9,7
1585,3/5/2021,,,1,1,4
13017,3/5/2021,111,80,19,15,
13020,3/5/2021,86,73,18,9,
13013,3/5/2021,115,76,18,12,
13014,3/5/2021,96,58,,9,
13252,3/5/2021,47,109,,,
8767,3/8/2021,82,,,,
8688,3/8/2021,,,,,
8641,3/8/2021,139,,7.4,0.2,4.1
13012,3/8/2021,24,20,6,2,2
12488,3/8/2021,6,13,,4,
13251,2/26/2021,1,1,50,12,1
12976,3/8/2021,,,8,4,3
13250,3/8/2021,30,10,3,40,41
5507,3/8/2021,35,19,,,
11778,3/8/2021,31,21,17,6,6
12958,3/8/2021,26,20,2,3,4
12957,3/8/2021,73,44,12,4,2
13015,3/8/2021,116,76,24,30,
13018,3/8/2021,19,14,9,4,
13019,3/8/2021,97,59,20,7,
13026,3/8/2021,121,87,16,9,1
1584,3/3/2021,,,1,9,7
1585,3/8/2021,,,1,2,4
13017,3/8/2021,131,81,17,12,
13020,3/8/2021,52,37,8,5,
13013,3/8/2021,135,82,23,18,
13014,3/8/2021,122,66,,9,
13252,3/8/2021,6,9,,,3
8767,3/14/2021,78,,,,
8688,3/14/2021,,,,,
8641,3/14/2021,119,,7.8,0.1,3.6
13012,3/14/2021,58,44,5,2,3
12488,3/14/2021,35,45,,5,
13251,2/26/2021,1,1,50,12,1
12976,3/14/2021,,,8,3,5
