City,Date time,PM2.5,PM10,NO2,CO,SO2
Hà Nội,2/17/2021 12:00,76,,7.4,0.1,4.1
Gia Lai,2/17/2021 12:00,37,27,3,1,1
Thừa Thiên Huế,2/17/2021 13:00,26,41,,1,
Hà Nội,2/17/2021 9:00,83,66,17,4,2
Bắc Ninh,2/17/2021 12:00,36,34,7,2,3
Lào Cai,2/17/2021 13:00,139,55,2,38,117
Hạ Long,2/17/2021 12:00,41,25,,,
Quảng Ninh,2/17/2021 11:00,10,7,7,6,22
Bắc Ninh,2/17/2021 12:00,41,27,2,3,5
Bắc Ninh,2/17/2021 12:00,,,3,4,2
Hà Nội,2/17/2021 9:00,87,68,29,23,
Hà Nội,2/17/2021 9:00,49,28,9,5,
Hà Nội,2/17/2021 9:00,45,33,31,8,
Hà Nội,2/17/2021 9:00,78,49,20,6,1
Đà Nẵng,2/17/2021 12:00,,,1,1,6
Nha Trang,2/17/2021 12:00,,,2,2,4
Hà Nội,2/17/2021 9:00,83,66,17,14,
Hà Nội,2/17/2021 9:00,44,28,8,6,
Hà Nội,2/17/2021 9:00,81,65,23,16,
Hà Nội,2/17/2021 9:00,49,31,,8,
Cao Bằng,2/17/2021 13:00,36,51,,,
Hồ Chí Minh ,2/18/2021 13:00,93,,,,
Hà Nội,2/18/2021 13:00,,,,,
Hà Nội,2/18/2021 13:00,154,,4.6,0.1,6.1
Gia Lai,2/18/2021 13:00,33,27,1,1,1
Thừa Thiên Huế,2/18/2021 14:00,39,64,,1,
Hà Nội,2/18/2021 12:00,112,77,31,7,2
Bắc Ninh,2/18/2021 13:00,83,51,8,3,4
Lào Cai,2/18/2021 14:00,192,87,2,32,44
Hạ Long,2/18/2021 13:00,24,19,,,
Quảng Ninh,2/18/2021 12:00,5,4,4,5,22
Bắc Ninh,2/18/2021 13:00,101,56,14,5,15
Bắc Ninh,2/18/2021 14:00,,,9,3,8
Hà Nội,2/18/2021 12:00,116,79,30,38,
Hà Nội,2/18/2021 12:00,95,51,12,9,
Hà Nội,2/18/2021 13:00,98,62,22,5,
Hà Nội,2/18/2021 13:00,101,59,14,5,1
Đà Nẵng,2/18/2021 13:00,,,1,4,6
Nha Trang,2/18/2021 13:00,,,3,2,4
Hà Nội,2/18/2021 12:00,114,77,20,13,
Hà Nội,2/18/2021 13:00,84,51,8,6,
